Regions Code,Regions,Age (17 categories) Code,Age (17 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Economic activity status (10 categories) Code,Economic activity status (10 categories),Observation
E12000007,London,3,Aged 18 to 19 years,5,Other ethnic group,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,643
E12000007,London,3,Aged 18 to 19 years,5,Other ethnic group,3,Economically active and a full-time student: In employment,1332
E12000007,London,3,Aged 18 to 19 years,5,Other ethnic group,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,927
E12000007,London,3,Aged 18 to 19 years,5,Other ethnic group,5,Economically inactive: Retired,3
E12000007,London,3,Aged 18 to 19 years,5,Other ethnic group,6,Economically inactive: Student,9102
E12000007,London,3,Aged 18 to 19 years,5,Other ethnic group,7,Economically inactive: Looking after home or family,210
E12000007,London,3,Aged 18 to 19 years,5,Other ethnic group,8,Economically inactive: Long-term sick or disabled,56
E12000007,London,3,Aged 18 to 19 years,5,Other ethnic group,9,Economically inactive: Other,685
E12000007,London,4,Aged 20 to 24 years,-8,Does not apply,-8,Does not apply,0
E12000007,London,4,Aged 20 to 24 years,-8,Does not apply,1,Economically active (excluding full-time students): In employment,0
E12000007,London,4,Aged 20 to 24 years,-8,Does not apply,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000007,London,4,Aged 20 to 24 years,-8,Does not apply,3,Economically active and a full-time student: In employment,0
E12000007,London,4,Aged 20 to 24 years,-8,Does not apply,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000007,London,4,Aged 20 to 24 years,-8,Does not apply,5,Economically inactive: Retired,0
E12000007,London,4,Aged 20 to 24 years,-8,Does not apply,6,Economically inactive: Student,0
E12000007,London,4,Aged 20 to 24 years,-8,Does not apply,7,Economically inactive: Looking after home or family,0
E12000007,London,4,Aged 20 to 24 years,-8,Does not apply,8,Economically inactive: Long-term sick or disabled,0
E12000007,London,4,Aged 20 to 24 years,-8,Does not apply,9,Economically inactive: Other,0
E12000007,London,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
E12000007,London,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",1,Economically active (excluding full-time students): In employment,44974
E12000007,London,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,9214
E12000007,London,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",3,Economically active and a full-time student: In employment,14138
E12000007,London,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4768
E12000007,London,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",5,Economically inactive: Retired,29
E12000007,London,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",6,Economically inactive: Student,35985
E12000007,London,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",7,Economically inactive: Looking after home or family,3770
E12000007,London,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",8,Economically inactive: Long-term sick or disabled,962
E12000007,London,4,Aged 20 to 24 years,1,"Asian, Asian British or Asian Welsh",9,Economically inactive: Other,5071
E12000007,London,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
E12000007,London,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Economically active (excluding full-time students): In employment,32733
E12000007,London,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,11375
E12000007,London,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",3,Economically active and a full-time student: In employment,8753
E12000007,London,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3785
E12000007,London,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",5,Economically inactive: Retired,29
E12000007,London,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",6,Economically inactive: Student,19444
E12000007,London,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",7,Economically inactive: Looking after home or family,2129
E12000007,London,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",8,Economically inactive: Long-term sick or disabled,1355
E12000007,London,4,Aged 20 to 24 years,2,"Black, Black British, Black Welsh, Caribbean or African",9,Economically inactive: Other,5715
E12000007,London,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,-8,Does not apply,0
E12000007,London,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,1,Economically active (excluding full-time students): In employment,19900
E12000007,London,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4762
E12000007,London,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,3,Economically active and a full-time student: In employment,3126
E12000007,London,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1275
E12000007,London,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,5,Economically inactive: Retired,11
E12000007,London,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,6,Economically inactive: Student,8690
E12000007,London,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,7,Economically inactive: Looking after home or family,1211
E12000007,London,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,8,Economically inactive: Long-term sick or disabled,880
E12000007,London,4,Aged 20 to 24 years,3,Mixed or Multiple ethnic groups,9,Economically inactive: Other,2357
E12000007,London,4,Aged 20 to 24 years,4,White,-8,Does not apply,0
E12000007,London,4,Aged 20 to 24 years,4,White,1,Economically active (excluding full-time students): In employment,165390
E12000007,London,4,Aged 20 to 24 years,4,White,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,19562
E12000007,London,4,Aged 20 to 24 years,4,White,3,Economically active and a full-time student: In employment,20421
E12000007,London,4,Aged 20 to 24 years,4,White,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5844
E12000007,London,4,Aged 20 to 24 years,4,White,5,Economically inactive: Retired,93
E12000007,London,4,Aged 20 to 24 years,4,White,6,Economically inactive: Student,46570
E12000007,London,4,Aged 20 to 24 years,4,White,7,Economically inactive: Looking after home or family,7441
E12000007,London,4,Aged 20 to 24 years,4,White,8,Economically inactive: Long-term sick or disabled,3823
