Lower tier local authorities Code,Lower tier local authorities,Age (17 categories) Code,Age (17 categories),Ethnic group (6 categories) Code,Ethnic group (6 categories),Economic activity status (10 categories) Code,Economic activity status (10 categories),Observation
E06000016,Leicester,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",3,Economically active and a full-time student: In employment,513
E06000016,Leicester,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,296
E06000016,Leicester,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",5,Economically inactive: Retired,1
E06000016,Leicester,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",6,Economically inactive: Student,2362
E06000016,Leicester,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",7,Economically inactive: Looking after home or family,51
E06000016,Leicester,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",8,Economically inactive: Long-term sick or disabled,5
E06000016,Leicester,3,Aged 18 to 19 years,1,"Asian, Asian British or Asian Welsh",9,Economically inactive: Other,160
E06000016,Leicester,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
E06000016,Leicester,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",1,Economically active (excluding full-time students): In employment,64
E06000016,Leicester,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,65
E06000016,Leicester,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",3,Economically active and a full-time student: In employment,114
E06000016,Leicester,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,113
E06000016,Leicester,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",5,Economically inactive: Retired,0
E06000016,Leicester,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",6,Economically inactive: Student,645
E06000016,Leicester,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",7,Economically inactive: Looking after home or family,8
E06000016,Leicester,3,Aged 18 to 19 years,2,"Black, Black British, Black Welsh, Caribbean or African",8,Economically inactive: Long-term sick or disabled,3
